"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
24876	"Kastellios K3"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20061	"La Cantera"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20061	"La Cantera"	9.4	9.9	8.9	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20394	"La Roma 2"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"Caprini"	"indet."	"-"
22349	"Masia de La Roma 604A"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
22349	"Masia de La Roma 604A"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
27437	"Masia de La Roma 604B"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
27437	"Masia de La Roma 604B"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
27437	"Masia de La Roma 604B"	9.4	9.9	8.9	"Proboscidea"	"Gomphotheriidae"	"\N"	"indet."	"-"
24731	"Masía del Barbo 2A"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
21623	"Masía del Barbo 2B"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
21623	"Masía del Barbo 2B"	9.4	9.9	8.9	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20074	"Montredon"	9.4	9.9	8.9	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20074	"Montredon"	9.4	9.9	8.9	"Artiodactyla"	"Ruminantia"	"\N"	"indet."	"-"
20455	"Nikiti 1 (NKT)"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
28837	"Ronda Oest de Sabadell D2"	9.4	9.9	8.9	"Perissodactyla"	"Chalicotheriidae"	"\N"	"indet."	"-"
24582	"Schernham b. Haag"	9.4	9.9	8.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
24582	"Schernham b. Haag"	9.4	9.9	8.9	"Artiodactyla"	"indet."	"\N"	"indet."	"Ruminantia"
20109	"Terrassa"	9.4	9.9	8.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
21150	"Tiraspol (Kolkotova Balka)"	9.4	9.9	8.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
23637	"Yulafli (CY)"	9.4	9.9	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20574	"Sinap 84"	9.5365	9.647	9.426	"Artiodactyla"	"indet."	"\N"	"indet."	"-"
20501	"Sinap 1"	9.684	9.721	9.647	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20510	"Sinap 10"	9.684	9.721	9.647	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20510	"Sinap 10"	9.684	9.721	9.647	"Perissodactyla"	"Equidae"	"\N"	"indet."	"-"
20507	"Sinap 7"	9.684	9.721	9.647	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
20507	"Sinap 7"	9.684	9.721	9.647	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20507	"Sinap 7"	9.684	9.721	9.647	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20507	"Sinap 7"	9.684	9.721	9.647	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20020	"Can Llobateres 1"	9.7535	9.786	9.721	"Hyracoidea"	"indet."	"\N"	"indet."	"-"
20512	"Sinap 12"	9.792	9.937	9.647	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20512	"Sinap 12"	9.792	9.937	9.647	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"small"
20541	"Sinap 87"	9.9605	9.984	9.937	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20541	"Sinap 87"	9.9605	9.984	9.937	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20508	"Sinap 8A"	9.9605	9.984	9.937	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20493	"Bòbila den Calabuí"	10.05	11.2	8.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20493	"Bòbila den Calabuí"	10.05	11.2	8.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
20493	"Bòbila den Calabuí"	10.05	11.2	8.9	"Proboscidea"	"Gomphotheriidae"	"\N"	"indet."	"-"
28252	"Ebingen"	10.05	11.2	8.9	"Primates"	"Hominidae"	"\N"	"indet."	"-"
21255	"Scontore"	10.05	11.2	8.9	"Artiodactyla"	"indet."	"\N"	"indet."	"Ruminantia"
21566	"Sinap 37"	10.05	11.2	8.9	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20546	"Sinap 40"	10.05	11.2	8.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20546	"Sinap 40"	10.05	11.2	8.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20527	"Sinap 45"	10.05	11.2	8.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20530	"Sinap 51"	10.05	11.2	8.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
21948	"Topolcany-Kalvaria"	10.05	11.2	8.9	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20285	"Rudabánya"	10.225	10.55	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"small"
